id;tag;totalCount;noAcceptedAnswerCount;noResponseCount;
1;machine-learning;24616;13904;5037;
2;unsupervised-learning;281;180;61;
3;supervised-learning;326;202;74;
4;reinforcement-learning;617;369;158;
5;regression;8555;4891;2192;
6;non-linear-regression;300;189;108;
7;classification;5679;3416;1243;
8;classifier;429;312;153;
9;deep-learning;8296;5004;2199;
10;text-classification;821;516;202;
11;prediction;1657;1023;459;
12;cluster-analysis;3654;2071;498;
13;hierarchical-clustering;676;394;177;
14;multilabel-classification;276;171;88;
15;multiclass-classification;148;115;62;
16;document-classification;207;104;25;
17;sentiment-analysis;1032;693;268;
18;object-detection;1444;1028;519;
19;image-recognition;941;587;206;
20;neural-network;13216;7698;3301;
21;conv-neural-network;2445;1474;677;
22;recurrent-neural-network;1067;682;331;
23;rnn;621;468;309;
24;autoencoder;417;294;144;
25;linear-regression;2811;1448;640;
26;logistic-regression;1626;1008;499;
27;svm;3356;2019;814;
28;svmlight;96;67;27;
29;decision-tree;1380;824;337;
30;knn;831;535;239;
31;random-forest;1695;1047;429;
32;k-means;1960;1082;328;
33;pca;1473;851;393;
34;perceptron;327;175;65;
35;naivebayes;625;430;206;
36;dbscan;265;143;20;
37;nls;363;171;86;
38;tf-idf;797;466;185;
39;word2vec;1056;683;271;
40;word-embedding;280;195;111;
41;feature-selection;701;430;178;
42;cross-validation;1152;658;303;
43;feature-extraction;969;615;270;
44;rfe;59;38;15;
45;feature-engineering;41;26;19;
46;confusion-matrix;342;174;91;
47;precision-recall;201;127;55;
48;scikit-learn;11285;5951;2234;
49;Tensorflow;28360;18176;8766;
50;r-caret;1137;641;269;
